method,condition,MSE,RMSE,MAE,Precision_at_5,MRR
Univariate,N/A,1.6119128688840805,1.2696113062209553,1.0954765934330528,,
Geographic,N/A,1.4570842523878966,1.2070974494165319,1.051341108584644,1.0,
Mean_Pooling,raw,1.5254077583076135,1.2350739890013123,1.0928891787136996,0.8,5.0
Lagged_CKA,raw,1.6822417563464998,1.2970126276742644,1.1360369609426575,0.6,4.6
Soft_DTW_g0.1,raw,1.5254077583076115,1.2350739890013114,1.0928891787136992,0.8,3.6
Soft_DTW_g1.0,raw,1.5254077583076115,1.2350739890013114,1.0928891787136992,0.8,3.6
Soft_DTW_g10.0,raw,1.5254077583076135,1.2350739890013123,1.0928891787136996,0.8,3.8
Mean_Pooling,whitened,1.5254077583076115,1.2350739890013114,1.0928891787136994,0.8,3.8
Lagged_CKA,whitened,1.8076843053514013,1.3445015081253726,1.154679649728709,0.4,10.2
Soft_DTW_g0.1,whitened,1.8086029047139691,1.3448430781001808,1.1729104853163308,0.8,5.0
Soft_DTW_g1.0,whitened,1.8086029047139691,1.3448430781001808,1.1729104853163308,0.8,5.0
Soft_DTW_g10.0,whitened,1.8086029047139691,1.3448430781001808,1.1729104853163308,0.8,5.0
